codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
41|396,La Plata,5,39.19,6,49.68,11,44.29
41|483,Nátaga,1,77.58,0,0,1,40.5
41|001,Neiva,55,109.56,48,97.5,103,103.59
41|518,Paicol,0,0,1,98.04,1,47.17
41|524,Palermo,5,86.66,9,163.04,14,124
41|53,Palestina,1,42.99,1,48.08,2,45.39
41|548,Pital,1,38.9,2,83.13,3,60.28
41|551,Pitalito,5,21.3,10,43.79,15,32.39
41|615,Rivera,2,63.94,2,65.9,4,64.9
41|66,Saladoblanco,0,0,2,86.39,2,41.63
41|668,San Agustín,2,34.92,3,53.82,5,44.24
41|77,Suaza,0,0,1,27.13,1,13.22
41|799,Tello,0,0,1,35.46,1,17.32
41|807,Timaná,0,0,3,81.02,3,40.03
41|885,Yaguará,1,72.2,1,74.07,2,73.13
44,La Guajira,44,20.88,46,22.65,90,21.75
44|035,Albania,2,34.33,0,0,2,17.78
44|078,Barrancas,0,0,1,13.46,1,6.65
44|09,Dibulla,1,13.11,0,0,1,6.79
44|098,Distracción,1,30.3,0,0,1,15.62
44|279,Fonseca,11,173.26,8,129.37,19,151.6
44|378,Hatonuevo,0,0,1,19.57,1,9.48
44|43,Maicao,8,23.68,5,15.35,13,19.59
44|56,Manaure,2,8.15,2,8.25,4,8.2
44|001,Riohacha,17,29.16,28,50.17,45,39.43
44|65,San Juan del Cesar,1,14.23,1,15.44,2,14.81
44|874,Villanueva,1,20.64,0,0,1,10.58
47,Magdalena,85,33.57,78,32.33,163,32.96
47|053,Aracataca,3,34.31,0,0,3,17.63
47|189,Ciénaga,12,58.47,12,62.67,24,60.5
47|245,El Banco,8,68.09,0,0,8,34.91
47|288,Fundación,1,8.25,4,34.04,5,20.94
47|555,Plato,11,90.58,6,52.29,17,71.98
47|57,Puebloviejo,0,0,1,14.75,1,7.22
47|001,Santa Marta,46,51.56,53,60.79,99,56.12
47|98,Zona Bananera,4,27.98,2,15,6,21.71
